"","refshort","patch_type","diversity_index","q_order","diversity_value","sd","n_pairs","habitat_amount","number_patches"
"46","Banks_Leite_2009","fragmented","gamma","q = 2",22.2587805910806,2.94736155092584,14,40.2046,84
"47","Banks_Leite_2009","fragmented","beta","q = 0",1.92355623389433,0.142692056850332,14,40.2046,84
"48","Banks_Leite_2009","fragmented","beta","q = 2",1.5228518177932,0.180131292736004,14,40.2046,84
"49","Bernard_2007","continuous","alpha","q = 0",8.03566029598727,0.756521538453243,3,83.4861,9
"50","Bernard_2007","continuous","alpha","q = 2",4.42498394782093,0.636056507600254,3,83.4861,9
"51","Bernard_2007","continuous","gamma","q = 0",18.0171558319812,1.86642052498967,3,83.4861,9
"52","Bernard_2007","continuous","gamma","q = 2",5.54813471684949,0.479492580058983,3,83.4861,9
"53","Bernard_2007","continuous","beta","q = 0",2.24215001236156,0.122921723344017,3,83.4861,9
"54","Bernard_2007","continuous","beta","q = 2",1.25382030359266,0.0721011698932702,3,83.4861,9
"55","Bernard_2007","fragmented","alpha","q = 0",8.43894055252492,1.20554227899974,7,34.0919,33.5
"56","Bernard_2007","fragmented","alpha","q = 2",5.60429158444694,1.09164329415462,7,34.0919,33.5
"57","Bernard_2007","fragmented","gamma","q = 0",15.8778523924579,1.79581134771774,7,34.0919,33.5
"58","Bernard_2007","fragmented","gamma","q = 2",7.36392657917638,1.18863494116029,7,34.0919,33.5
"59","Bernard_2007","fragmented","beta","q = 0",1.88149831055597,0.245964146185344,7,34.0919,33.5
"60","Bernard_2007","fragmented","beta","q = 2",1.31397991489465,0.244352868073,7,34.0919,33.5
"61","Bogoni_2016","continuous","alpha","q = 0",11.3069090297769,2.62125863484297,3,92.4225,3
"62","Bogoni_2016","continuous","alpha","q = 2",6.33480730260451,2.40678404596724,3,92.4225,3
"63","Bogoni_2016","continuous","gamma","q = 0",17.7477737786812,1.72665284053847,3,92.4225,3
"64","Bogoni_2016","continuous","gamma","q = 2",7.81777107609074,3.35819788173423,3,92.4225,3
"65","Bogoni_2016","continuous","beta","q = 0",1.56963974256291,0.0343486799145191,3,92.4225,3
"66","Bogoni_2016","continuous","beta","q = 2",1.23409769273905,0.561844984086897,3,92.4225,3
"67","Bogoni_2016","fragmented","alpha","q = 0",10.4472294643092,0.596881860216704,2,82.1206,25
"68","Bogoni_2016","fragmented","alpha","q = 2",4.40698178322743,1.58316906292671,2,82.1206,25
"69","Bogoni_2016","fragmented","gamma","q = 0",15.9624503552329,0.0531032168919291,2,82.1206,25
"70","Bogoni_2016","fragmented","gamma","q = 2",6.4737325429871,1.21129817314419,2,82.1206,25
"71","Bogoni_2016","fragmented","beta","q = 0",1.52791229576849,0.129306696287032,2,82.1206,25
"72","Bogoni_2016","fragmented","beta","q = 2",1.46897193168021,0.409235941913723,2,82.1206,25
"73","Bolger_1997","continuous","alpha","q = 0",1.82997140464578,0.130156751965381,2,40.0291,199
"74","Bolger_1997","continuous","alpha","q = 2",1.52949088667335,0.113676772712717,2,40.0291,199
"75","Bolger_1997","continuous","gamma","q = 0",2.47246749823252,0.205262681403877,2,40.0291,199
"76","Bolger_1997","continuous","gamma","q = 2",1.82006183535224,0.146515759064442,2,40.0291,199
"77","Bolger_1997","continuous","beta","q = 0",1.35109624770946,0.0462172822911406,2,40.0291,199
"78","Bolger_1997","continuous","beta","q = 2",1.18997886892343,0.0194323360380855,2,40.0291,199
"79","Bolger_1997","fragmented","alpha","q = 0",1.92962407989114,0.262217208497893,10,28.9242,202
"80","Bolger_1997","fragmented","alpha","q = 2",1.64343223441029,0.226853182611184,10,28.9242,202
"81","Bolger_1997","fragmented","gamma","q = 0",2.82639648892792,0.477327345619743,10,28.9242,202
"82","Bolger_1997","fragmented","gamma","q = 2",2.16739441060777,0.260317768734361,10,28.9242,202
"83","Bolger_1997","fragmented","beta","q = 0",1.46473943727287,0.426447322776893,10,28.9242,202
"84","Bolger_1997","fragmented","beta","q = 2",1.31882189312509,0.342073278160544,10,28.9242,202
"85","Bossart_2006","continuous","alpha","q = 0",41.0089620583566,2.00915114459437,1,69.5881,49.5
"86","Bossart_2006","continuous","alpha","q = 2",13.4484748526895,4.79025806293384,1,69.5881,49.5
"87","Bossart_2006","continuous","gamma","q = 0",54.7746099053462,0,1,69.5881,49.5
"88","Bossart_2006","continuous","gamma","q = 2",17.9672844453027,0,1,69.5881,49.5
"89","Bossart_2006","continuous","beta","q = 0",1.33567413453188,0,1,69.5881,49.5
"90","Bossart_2006","continuous","beta","q = 2",1.33600907479181,0,1,69.5881,49.5
"91","Bossart_2006","fragmented","alpha","q = 0",27.4221164586598,2.43670958954079,3,7.6417,136
"92","Bossart_2006","fragmented","alpha","q = 2",8.71444007250149,2.23025354745145,3,7.6417,136
"93","Bossart_2006","fragmented","gamma","q = 0",42.2835730460788,2.11510920667819,3,7.6417,136
"94","Bossart_2006","fragmented","gamma","q = 2",10.0981785605308,2.84807128297409,3,7.6417,136
"95","Bossart_2006","fragmented","beta","q = 0",1.54195147955933,0.0783373780251179,3,7.6417,136
"96","Bossart_2006","fragmented","beta","q = 2",1.15878684993149,0.362779268788203,3,7.6417,136
"97","Bossart_2016","continuous","alpha","q = 0",54.589539310911,0.475004737520191,1,75.1473,72
"98","Bossart_2016","continuous","alpha","q = 2",16.5380312657443,4.03625992739972,1,75.1473,72
"99","Bossart_2016","continuous","gamma","q = 0",74.9418558693432,0,1,75.1473,72
"100","Bossart_2016","continuous","gamma","q = 2",19.5862054576386,0,1,75.1473,72
"101","Bossart_2016","continuous","beta","q = 0",1.37282447910976,0,1,75.1473,72
"102","Bossart_2016","continuous","beta","q = 2",1.1843130021291,0,1,75.1473,72
"103","Bossart_2016","fragmented","alpha","q = 0",44.1365020355632,4.86626966981892,4,65.7326,31
"104","Bossart_2016","fragmented","alpha","q = 2",12.3560801206697,3.81899405756822,4,65.7326,31
"105","Bossart_2016","fragmented","gamma","q = 0",60.4299086367655,4.58045204668833,4,65.7326,31
"106","Bossart_2016","fragmented","gamma","q = 2",14.5841330220176,3.21717613627068,4,65.7326,31
"107","Bossart_2016","fragmented","beta","q = 0",1.3691594451249,0.188144707882864,4,65.7326,31
"108","Bossart_2016","fragmented","beta","q = 2",1.18032036694394,0.546014354855954,4,65.7326,31
"109","Bragagnolo_2007","continuous","alpha","q = 0",9.06828780080296,2.3058329329026,6,87.84845,7
"110","Bragagnolo_2007","continuous","alpha","q = 2",3.69711570102952,1.05961753596988,6,87.84845,7
"111","Bragagnolo_2007","continuous","gamma","q = 0",14.2115631891582,3.55460142411155,6,87.84845,7
"112","Bragagnolo_2007","continuous","gamma","q = 2",3.85933664339841,1.13926743922776,6,87.84845,7
"113","Bragagnolo_2007","continuous","beta","q = 0",1.56717160960637,0.285535373349796,6,87.84845,7
"114","Bragagnolo_2007","continuous","beta","q = 2",1.04387770237316,0.111311714522897,6,87.84845,7
"115","Bragagnolo_2007","fragmented","alpha","q = 0",5.14828554355151,1.065352468465,6,43.88635,73
