"","refshort","patch_type","diversity_index","diversity_value"
"232","Nemesio_2010","continuous","alphaC2",3.73544050790272
"233","Nemesio_2010","continuous","beta_C",1.0973720896778
"234","Nemesio_2010","fragmented","alphaC",5.4346751597502
"235","Nemesio_2010","fragmented","alphaC2",2.82519489473347
"236","Nemesio_2010","fragmented","beta_C",1.11016563527367
"237","Nemesio_2010","fragmented","gamma_2_q0",10.7166364552129
"238","Nemesio_2010","fragmented","gamma_2_q2",3.16447138770052
"239","Nemesio_2010","continuous","gamma_2_q0",8.63792669724352
"240","Nemesio_2010","continuous","gamma_2_q2",3.37486495249341
"241","Nogueira_2016","continuous","alphaC",37.7379289540064
"242","Nogueira_2016","continuous","alphaC2",14.4155340454773
"243","Nogueira_2016","continuous","beta_C",1.22119411841594
"244","Nogueira_2016","fragmented","alphaC",38.9058997448661
"245","Nogueira_2016","fragmented","alphaC2",15.3438555491315
"246","Nogueira_2016","fragmented","beta_C",1.20078896070221
"247","Nogueira_2016","fragmented","gamma_2_q0",58.9936782473869
"248","Nogueira_2016","fragmented","gamma_2_q2",18.1947344155506
"249","Nogueira_2016","continuous","gamma_2_q0",62.1383370506193
"250","Nogueira_2016","continuous","gamma_2_q2",16.8468182902363
"251","Pinho_2019c","continuous","alphaC",12.6319610700488
"252","Pinho_2019c","continuous","alphaC2",8.39559594590335
"253","Pinho_2019c","continuous","beta_C",1.49329378198643
"254","Pinho_2019c","fragmented","alphaC",9.08914989821184
"255","Pinho_2019c","fragmented","alphaC2",6.67204074467788
"256","Pinho_2019c","fragmented","beta_C",1.5084278232914
"257","Pinho_2019c","fragmented","gamma_2_q0",29.3736409557455
"258","Pinho_2019c","fragmented","gamma_2_q2",13.9941855312823
"259","Pinho_2019c","continuous","gamma_2_q0",42.9721730174488
"260","Pinho_2019c","continuous","gamma_2_q2",17.2199184714477
"261","Pinho_2019d","continuous","alphaC",15.2377199521254
"262","Pinho_2019d","continuous","alphaC2",10.6792152179862
"263","Pinho_2019d","continuous","beta_C",1.87959230868348
"264","Pinho_2019d","fragmented","alphaC",9.11534642969149
"265","Pinho_2019d","fragmented","alphaC2",6.7869434628842
"266","Pinho_2019d","fragmented","beta_C",1.52573634979374
"267","Pinho_2019d","fragmented","gamma_2_q0",60.4470063134285
"268","Pinho_2019d","fragmented","gamma_2_q2",18.1090484190594
"269","Pinho_2019d","continuous","gamma_2_q0",105.544619603571
"270","Pinho_2019d","continuous","gamma_2_q2",27.3128229537681
"271","Pinho_2019e","continuous","alphaC",30.8496368554224
"272","Pinho_2019e","continuous","alphaC2",22.830680444696
"273","Pinho_2019e","continuous","beta_C",1.24905711403957
"274","Pinho_2019e","fragmented","alphaC",13.5223663105241
"275","Pinho_2019e","fragmented","alphaC2",11.4554361557084
"276","Pinho_2019e","fragmented","beta_C",1.21519030230283
"277","Pinho_2019e","fragmented","gamma_2_q0",19.131778343566
"278","Pinho_2019e","fragmented","gamma_2_q2",15.4037649942036
"279","Pinho_2019e","continuous","gamma_2_q0",40.55227661192
"280","Pinho_2019e","continuous","gamma_2_q2",30.6375706558789
"281","Pinho_2019f","continuous","alphaC",67.9653355384055
"282","Pinho_2019f","continuous","alphaC2",43.9666845164724
"283","Pinho_2019f","continuous","beta_C",1.14010717299333
"284","Pinho_2019f","fragmented","alphaC",93.869531394981
"285","Pinho_2019f","fragmented","alphaC2",46.258622564225
"286","Pinho_2019f","fragmented","beta_C",1.1796099293697
"287","Pinho_2019f","fragmented","gamma_2_q0",127.354598515851
"288","Pinho_2019f","fragmented","gamma_2_q2",68.0364746054731
