refshort,taxon,fragment_id,plot_id,fragment_plot_comb,fragment_area,patch_type,latitude,longitude,control_cont_frag,sampling_design,sampling_effort,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
Pinho_2019f,Plantae,Una_IIICO11,IIICO11,Una_IIICO11_IIICO11,2000,continuous,-15.18375093,-39.06723111,yes,standardized_subsamples,NA,400,54.6112,100,1,1.8311,0,0,0,100,0.0059,0
Pinho_2019f,Plantae,Una_IIICO11,IIICO11,Una_IIICO11_IIICO11,2000,continuous,-15.18375093,-39.06723111,yes,standardized_subsamples,NA,600,118.1366,100,1,0.8465,0,0,0,100,0.004,0
Pinho_2019f,Plantae,Una_IIICO11,IIICO11,Una_IIICO11_IIICO11,2000,continuous,-15.18375093,-39.06723111,yes,standardized_subsamples,NA,800,208.7513,100,1,0.479,0,0,0,100,0.003,0
Pinho_2019f,Plantae,Una_IIICO11,IIICO11,Una_IIICO11_IIICO11,2000,continuous,-15.18375093,-39.06723111,yes,standardized_subsamples,NA,1000,324.2916,99.9733,1,0.3083,0,0,0.3628,99.9733,0.0025,0
Pinho_2019f,Plantae,Una_IIICO11,IIICO11,Una_IIICO11_IIICO11,2000,continuous,-15.18375093,-39.06723111,yes,standardized_subsamples,NA,1200,465.7094,99.9814,1,0.2147,0,0,0.2526,99.9814,0.0021,0
Pinho_2019f,Plantae,Una_IIICO11,IIICO11,Una_IIICO11_IIICO11,2000,continuous,-15.18375093,-39.06723111,yes,standardized_subsamples,NA,1400,628.937,99.6572,1,0.1585,0,0,2.0045,99.6572,0.002,0
Pinho_2019f,Plantae,Una_IIICO11,IIICO11,Una_IIICO11_IIICO11,2000,continuous,-15.18375093,-39.06723111,yes,standardized_subsamples,NA,1600,817.0036,99.6096,1,0.1219,0,0,2.2955,99.6096,0.0018,0
Pinho_2019f,Plantae,Una_IIICO11,IIICO11,Una_IIICO11_IIICO11,2000,continuous,-15.18375093,-39.06723111,yes,standardized_subsamples,NA,1800,513.3102,99.1226,2,0.1931,65.7826,99.5661,4.8288,99.1142,0.0689,0.4924
Pinho_2019f,Plantae,Una_IIICO11,IIICO11,Una_IIICO11_IIICO11,2000,continuous,-15.18375093,-39.06723111,yes,standardized_subsamples,NA,2000,1258.6529,98.4831,1,0.0782,0,0,7.4581,98.4831,0.002,0
Pinho_2019f,Plantae,Una_IIICO21,IIICO21,Una_IIICO21_IIICO21,2000,continuous,-15.16451696,-39.05711713,yes,standardized_subsamples,NA,200,14.1937,100,1,7.0454,0,0,0,100,0.0112,0
Pinho_2019f,Plantae,Una_IIICO21,IIICO21,Una_IIICO21_IIICO21,2000,continuous,-15.16451696,-39.05711713,yes,standardized_subsamples,NA,400,53.2264,97.619,1,1.834,0,0,18.8843,97.619,0.0078,0
Pinho_2019f,Plantae,Una_IIICO21,IIICO21,Una_IIICO21_IIICO21,2000,continuous,-15.16451696,-39.05711713,yes,standardized_subsamples,NA,600,109.1358,91.9096,1,0.8422,0,0,31.4647,91.9096,0.0071,0
Pinho_2019f,Plantae,Una_IIICO21,IIICO21,Una_IIICO21_IIICO21,2000,continuous,-15.16451696,-39.05711713,yes,standardized_subsamples,NA,800,194.8173,93.2477,1,0.4786,0,0,30.1336,93.2477,0.0065,0
Pinho_2019f,Plantae,Una_IIICO21,IIICO21,Una_IIICO21_IIICO21,2000,continuous,-15.16451696,-39.05711713,yes,standardized_subsamples,NA,1000,308.8862,95.5556,1,0.3094,0,0,20.568,95.5556,0.0047,0
Pinho_2019f,Plantae,Una_IIICO21,IIICO21,Una_IIICO21_IIICO21,2000,continuous,-15.16451696,-39.05711713,yes,standardized_subsamples,NA,1200,450.304,96.836,1,0.215,0,0,15.1834,96.836,0.0037,0
